6576	kchfXihrEe6kZXDNYKrNDg==	5	Sitar Lead	mpx-minimoog template.performance			Lead;Gtr/Plucked;		Ski			1690015296	1721259486	1721259486	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6577	dcxE+CDUEe6xv3DNYKrNDg==	5	4 Claps on the 4 C's	mpx-minimoog template.performance			Drums;Percussion;		Ski			1689180737	1721259487	1721259487	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6578	SS46YAhuEe6YxKzeSAARIg==	5	Chronorgan	mono-poly template.performance			Piano/Keys;Synth;		Airwave			1686498026	1721259487	1721259487	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6579	8EJaXhN1Ee6CNg4Iu8O6PQ==	5	Butter Brass	mpx-minimoog template.performance			Brass;Fast Synth;		Huston Singletary			1687710775	1721259487	1721259487	0		0	multi/poly	0	0	0	0	Made for big wide chords. Did we say wide? Velocity input is a big factor with this patch	0	0	Mpx		1
6580	e1qp0BAeEe6yt6zeSAARIg==	5	Knarfonium	mono-poly template.performance			Piano/Keys;Woodwind;		Airwave			1687343359	1721259487	1721259487	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6581	b8RHvBa3Ee6D6g4Iu8O6PA==	5	Boundary Pad	mpx-minimoog template.performance			Pad;Strings;		Huston Singletary			1688068760	1721259488	1721259488	0		0	multi/poly	0	0	0	0	Slow legato chords. Mod Wheel introduces breath.	0	0	Mpx		1
6582	iMmcNuxjEe2JP3rvsXCCww==	5	Choralish	mono-poly template.performance			Vocal/Airy;None;		Francis Preve			1683414775	1722636214	1722636214	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6583	dPpLZg25Ee6zsqzeSAARIg==	5	90s Trance Plucklines	mono-poly template.performance			Bass;Seq;		Airwave			1687080067	1721259488	1721259488	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6584	MLq4jtB3Ee2xTXDNYKrNDg==	5	Up and Down the Drain	mpx-minimoog template.performance			SFX;Soundscape;		Ski			1680344585	1721259489	1721259489	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6585	jg933MkUEe21ujwVwusKFA==	5	4 Osc Mini	minimoog template.performance			Lead;None;		Andy Leary			1679532563	1721259489	1721259489	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6586	JblV7CZkEe64SypOhPmloQ==	5	Sync + Xmod Thickness	mono-poly template.performance			Fast Synth;Bass;		Dan Phillips			1689792206	1721259489	1721259489	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6587	dnonwDGXEe6sJMoEE03+ZA==	5	Evil Reckoning	mono-poly template.performance			Bass;None;		John Lehmkuhl			1691023709	1721259489	1721259489	0		0	multi/poly	0	0	0	0	Evil Wavetable bass using the Motion Sequencer to push some digits.	0	0	Mpx		1
6588	T1S7Jgz2Ee63Y6zeSAARIg==	5	90s Rave Massacre	mono-poly template.performance			Lead;Synth;		Airwave			1686996252	1721259490	1721259490	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6589	4nUkavO4Ee2blsoEE03+ZQ==	5	Moody Dark Pad	mono-poly template.performance			Pad;None;		John Lehmkuhl			1684221091	1721259490	1721259490	0		0	multi/poly	0	0	0	0	Dark 3-OSC Pad with Filter Cutoff on Modulation Wheel, Octave Pitch Jump on Macro 1, Filter Pulse on Macro 2, DDL on Macro 3 and Reverb on Macro 4. Hidden Layer 2 NOISE Synth on Modulation Wheel! 	0	0	Mpx		1
6590	YFI9IDucEe60dioIoanT7g==	5	Cars Landing 	mono-poly template.performance			Lead;Synth;		Tara Busch 			1692125331	1722635421	1722635421	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6591	/EWI7F/pEe6n+nDNYKrNDg==	5	BellaPulse	mpx-minimoog template.performance			Bell/Mallet;Rhythm Soft;		Ski			1696116905	1721259491	1721259491	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6592	lku13PXEEe2V4nDNYKrNDg==	5	WaKaH!	mpx-minimoog template.performance			Gtr/Plucked;Rhythm Hard;		Ski			1684446020	1721259491	1721259491	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6593	G8FeBDMpEe+TFaqM17KPRQ==	5	B Davis Eyes Synth Clap				Drums;Percussion;		Tara Busch 			1719343712	1722459090	1722459090	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6594	e8nIIipREe6w1nDNYKrNDg==	5	3Sync Organ	mpx-minimoog template.performance			Piano/Keys;Fast Synth;		Ski			1690223995	1721259492	1721259492	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6595	s3cauuuiEe2qS3rvsXCCww==	5	Contemplative Horns	mono-poly template.performance			Pad;Brass;		Francis Preve			1683331954	1722459596	1722459596	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6596	sBdyFjC3Ee6GESpOhPmlow==	5	Nay Lead	mpx-minimoog template.performance			Lead;Woodwind;		Ski/DAP			1690927598	1721259492	1721259492	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6597	u1m/rO+QEe2EZHrvsXCCww==	5	Orkish Strings	mono-poly template.performance			Orchestral;Strings;		Francis Preve			1683764041	1721259492	1721259492	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6598	R/3BFt/XEe25zxDdsZkhnA==	5	Dawn Pad	mono-poly template.performance			Pad;Vocal/Airy;		Korg			1682035123	1721259493	1721259493	0		0	multi/poly	0	0	0	0	TK	0	0	Mpx		1
6599	+qx+lBYXEe6L2soEE03+ZA==	5	Miami Overdrive	mono-poly template.performance			Seq;Rhythm Hard;		John Lehmkuhl / Airwave			1688000274	1721259493	1721259493	0		0	multi/poly	0	0	0	0	Play Middle C for optimal range. Full production on 1 note. Macro knobs and vector for fun mising experience! Get yo groove on! Kaoss by DAP.	0	0	Mpx		1
